#	size	1                   	2                   	3                   	4                   	5                   	6                   	7                   	8                   	9                   	10                  	average             	average(s:ms)
152	768 	21183.000;938412;1  	21116.000;938412;1  	21186.000;938412;1  	21473.000;938412;1  	21426.000;938412;1  	21199.000;938412;1  	21330.000;938412;1  	21148.000;938412;1  	21096.000;938412;1  	21274.000;938412;1  	21243.1;938412      	21:243;1.0
153	773 	60001.000;2197244;0 	60001.000;2212658;0 	60001.000;2215161;0 	60002.000;2208704;0 	60002.000;2207506;0 	60001.000;2217131;0 	60001.000;2211320;0 	60002.000;2210610;0 	60001.000;2207593;0 	60001.000;2215129;0 	60001.3;2210305     	60:1;0.0  
154	778 	60002.000;2424941;0 	60001.000;2435754;0 	60001.000;2428043;0 	60002.000;2439566;0 	60001.000;2408841;0 	60001.000;2414168;0 	60001.000;2435057;0 	60001.000;2426759;0 	60001.000;2437502;0 	60001.000;2409919;0 	60001.2;2426055     	60:1;0.0  
155	783 	5020.000;220198;1   	5055.000;220198;1   	5105.000;220198;1   	5096.000;220198;1   	5023.000;220198;1   	5035.000;220198;1   	5166.000;220198;1   	5017.000;220198;1   	5122.000;220198;1   	5016.000;220198;1   	5065.5;220198       	5:65;1.0  
156	788 	119.000;13;1        	118.000;13;1        	130.000;13;1        	116.000;13;1        	120.000;13;1        	117.000;13;1        	119.000;13;1        	130.000;13;1        	118.000;13;1        	118.000;13;1        	120.5;13            	0:120;1.0 
157	793 	60001.000;1576891;0 	60001.000;1533575;0 	60002.000;1535711;0 	60001.000;1537903;0 	60001.000;1537003;0 	60001.000;1585679;0 	60001.000;1569858;0 	60001.000;1421769;0 	60002.000;1493709;0 	60002.000;1509092;0 	60001.3;1530119     	60:1;0.0  
158	798 	127.000;4;1         	125.000;4;1         	126.000;4;1         	127.000;4;1         	125.000;4;1         	125.000;4;1         	127.000;4;1         	126.000;4;1         	126.000;4;1         	135.000;4;1         	126.9;4             	0:126;1.0 
159	803 	60002.000;1856950;0 	60001.000;1843406;0 	60001.000;1770948;0 	60001.000;1924141;0 	60002.000;1910243;0 	60002.000;1929824;0 	60001.000;1871290;0 	60001.000;1836466;0 	60002.000;1858505;0 	60001.000;1884746;0 	60001.4;1868651     	60:1;0.0  
160	808 	60001.000;2511349;0 	60002.000;2519447;0 	60002.000;2377909;0 	60001.000;2258504;0 	60002.000;2276661;0 	60001.000;2284577;0 	60002.000;2283499;0 	60001.000;2272520;0 	60001.000;2264725;0 	60002.000;2345382;0 	60001.5;2339457     	60:1;0.0  
161	813 	60002.000;2738907;0 	60002.000;2593719;0 	60001.000;2645157;0 	60001.000;2621479;0 	60001.000;2713386;0 	60002.000;2663565;0 	60002.000;2783452;0 	60002.000;2854515;0 	60002.000;2855814;0 	60002.000;2854868;0 	60001.7;2732486     	60:1;0.0  
162	818 	60001.000;2363876;0 	60001.000;2236299;0 	60001.000;2123914;0 	60001.000;2165834;0 	60001.000;2163832;0 	60002.000;2175029;0 	60002.000;2171970;0 	60002.000;2150758;0 	60002.000;2135711;0 	60001.000;2036829;0 	60001.4;2172405     	60:1;0.0  
163	823 	60001.000;1874204;0 	60001.000;1800421;0 	60002.000;1867778;0 	60001.000;1907715;0 	60001.000;1921287;0 	60002.000;1921449;0 	60001.000;1922264;0 	60002.000;1914859;0 	60002.000;1916721;0 	60001.000;1910135;0 	60001.4;1895683     	60:1;0.0  
164	828 	60001.000;2335241;0 	60002.000;2342387;0 	60002.000;2459228;0 	60001.000;2452339;0 	60002.000;2457023;0 	60002.000;2466998;0 	60002.000;2478923;0 	60002.000;2490377;0 	60002.000;2484013;0 	60001.000;2473210;0 	60001.7;2443973     	60:1;0.0  
165	833 	60002.000;2303617;0 	60002.000;2308412;0 	60002.000;2308765;0 	60002.000;2295480;0 	60002.000;2303323;0 	60001.000;2242063;0 	60001.000;2246203;0 	60002.000;2267193;0 	60002.000;2270811;0 	60001.000;2265628;0 	60001.7;2281149     	60:1;0.0  
166	838 	150.000;32;1        	148.000;32;1        	147.000;32;1        	148.000;32;1        	151.000;32;1        	157.000;32;1        	149.000;32;1        	146.000;32;1        	147.000;32;1        	148.000;32;1        	149.1;32            	0:149;1.0 
167	843 	30176.000;1180057;1 	31834.000;1180057;1 	30237.000;1180057;1 	29921.000;1180057;1 	30258.000;1180057;1 	31272.000;1180057;1 	31624.000;1180057;1 	30760.000;1180057;1 	31316.000;1180057;1 	31522.000;1180057;1 	30892.0;1180057     	30:891;1.0
168	848 	242.000;4081;1      	238.000;4081;1      	240.000;4081;1      	239.000;4081;1      	240.000;4081;1      	243.000;4081;1      	239.000;4081;1      	241.000;4081;1      	241.000;4081;1      	236.000;4081;1      	239.9;4081          	0:239;1.0 
169	853 	60001.000;2263515;0 	60001.000;2269922;0 	60002.000;2286390;0 	60002.000;2268351;0 	60002.000;2278029;0 	60001.000;2231907;0 	60002.000;2246386;0 	60002.000;2317677;0 	60001.000;2315735;0 	60002.000;2309974;0 	60001.6;2278788     	60:1;0.0  
170	858 	60001.000;1893149;0 	60002.000;1815304;0 	60002.000;1885602;0 	60002.000;1904975;0 	60001.000;1932978;0 	60002.000;1948432;0 	60002.000;1932185;0 	60002.000;1940227;0 	60002.000;1938813;0 	60001.000;1938151;0 	60001.7;1912981     	60:1;0.0  
171	863 	60002.000;2348131;0 	60002.000;2347381;0 	60002.000;2342656;0 	60002.000;2340671;0 	60001.000;2350500;0 	60002.000;2340495;0 	60001.000;2350172;0 	60002.000;2340911;0 	60001.000;2348138;0 	60002.000;2344003;0 	60001.7;2345305     	60:1;0.0  
172	868 	60001.000;2395077;0 	60002.000;2394128;0 	60002.000;2392766;0 	60001.000;2395664;0 	60001.000;2389980;0 	60002.000;2396488;0 	60002.000;2400532;0 	60002.000;2389372;0 	60002.000;2393290;0 	60002.000;2405197;0 	60001.7;2395249     	60:1;0.0  
