0	0.7	56              
1	0.2	11              
2	0.3	12              
3	0.3	0               
4	0.7	2               
5	0.5	27              
6	6.9	1141            
7	0.9	31              
8	12.8	2068           
9	1.1	50              
10	0.5	35              
11	0.6	1               
12	1.0	14              
13	2.4	214             
14	1.8	43              
15	21682.6	3294372     
16	7050.0	1008395      
17	1.0	0               
18	13.4	1279           
19	1.5	3               
20	22.2	2413           
21	2.7	3               
22	30.9	3750           
23	2.9	43              
24	92.6	9788           
25	5.1	225             
26	4.5	4               
27	118.3	11943         
28	6.3	4               
29	7.1	0               
30	8.9	71              
31	12.8	485            
32	11.3	36             
33	9.1	42              
34	2020.5	185098       
35	11.1	13             
36	45.2	3680           
37	11.6	0              
38	12.6	62             
39	211.2	14639         
40	14.8	1              
41	2601.6	184173       
42	17.4	92             
43	19.2	0              
44	17.0	14             
45	17.5	22             
46	5214.7	321181       
47	31.1	919            
48	21.3	63             
49	28.9	610            
50	73.3	4320           
51	577.4	39914         
52	1737.0	111743       
53	23.4	6              
54	38114.0	2449062     
55	64.1	3046           
56	252.6	12541         
57	3025.7	178993       
58	30.5	9              
59	32.9	89             
60	278.0	15332         
61	166.9	9258          
62	44.9	131            
63	1025.7	58392        
64	63.1	1175           
65	166.3	5490          
66	66.7	1201           
67	51.2	2              
68	52.4	2              
69	52.7	61             
70	61.1	12             
71	2297.2	111666       
72	849.9	37845         
73	244.7	9316          
74	36863.8	1756186     
75	107.3	2476          
76	135.7	3496          
77	88.5	807            
78	70.4	19             
79	88.8	697            
80	4046.2	185977       
81	246.3	7407          
82	85.3	104            
83	3171.7	146543       
84	97.5	138            
85	493.1	20811         
86	21243.1	938412      
87	5065.5	220198       
88	120.5	13            
89	126.9	4             
90	149.1	32            
91	30892.0	1180057     
92	239.9	4081          
93	32729.7	1268212     
94	804.9	24851         
95	577.7	13299         
96	243.4	66            
97	249.0	38            
