rnd rnd   	8     	585       	0.0
rnd rnd   	13    	1866404   	33.0
rnd rnd   	18    	2801820   	60.0
rnd rnd   	23    	2339431   	60.0
rnd rnd   	28    	1818904   	60.0
rnd rnd   	33    	1501804   	60.0
rnd rnd   	38    	1197439   	60.0
rnd rnd   	43    	1008919   	60.0
rnd rnd   	48    	864091    	60.0
rnd min   	8     	631       	0.0
rnd min   	13    	1904029   	31.0
rnd min   	18    	2435331   	60.0
rnd min   	23    	1727233   	60.0
rnd min   	28    	1223368   	60.0
rnd min   	33    	1043670   	60.0
rnd min   	38    	793857    	60.0
rnd min   	43    	678848    	60.0
rnd min   	48    	537210    	60.0
min rnd   	8     	300       	0.0
min rnd   	13    	561362    	10.0
min rnd   	18    	2494321   	60.0
min rnd   	23    	1606595   	60.0
min rnd   	28    	1198660   	60.0
min rnd   	33    	1027171   	60.0
min rnd   	38    	745627    	60.0
min rnd   	43    	537625    	60.0
min rnd   	48    	379353    	60.0
rnd max   	8     	682       	0.0
rnd max   	13    	1788480   	33.0
rnd max   	18    	2772202   	60.0
rnd max   	23    	2227000   	60.0
rnd max   	28    	1812605   	60.0
rnd max   	33    	1504384   	60.0
rnd max   	38    	1245251   	60.0
rnd max   	43    	1016045   	60.0
rnd max   	48    	868476    	60.0
max rnd   	8     	300       	0.0
max rnd   	13    	561362    	10.0
max rnd   	18    	2504451   	60.0
max rnd   	23    	1610843   	60.0
max rnd   	28    	1197332   	60.0
max rnd   	33    	1030798   	60.0
max rnd   	38    	744858    	60.0
max rnd   	43    	538096    	60.0
max rnd   	48    	381493    	60.0
