value min           	17087   	121     	CQRSGAKPBEFILDHNJMO
value max           	16895   	118     	RQCKAGSIFEBPNHDLOMJ
value rnd           	20026   	131     	INOKFHMRAEDJQGBLCSP
bound min           	13617   	129     	CQRSGAKPBEFILDHNJMO
bound max           	13328   	125     	RQCKAGSIFEBPNHDLOMJ
bound rnd           	16568   	137     	INOKFHMRAEDJQGBLCSP
domain min          	13617   	155     	CQRSGAKPBEFILDHNJMO
domain max          	13328   	151     	RQCKAGSIFEBPNHDLOMJ
domain rnd          	16568   	172     	INOKFHMRAEDJQGBLCSP
