value min           	17087   	121     	CQRSGAKPBEFILDHNJMO
value max           	16895   	114     	RQCKAGSIFEBPNHDLOMJ
value rnd           	20026   	125     	INOKFHMRAEDJQGBLCSP
bound min           	13617   	125     	CQRSGAKPBEFILDHNJMO
bound max           	13328   	121     	RQCKAGSIFEBPNHDLOMJ
bound rnd           	16568   	133     	INOKFHMRAEDJQGBLCSP
domain min          	13617   	149     	CQRSGAKPBEFILDHNJMO
domain max          	13328   	146     	RQCKAGSIFEBPNHDLOMJ
domain rnd          	16568   	167     	INOKFHMRAEDJQGBLCSP
