39.36	37.22	37.99	30.75	39.27	39.95	30.46	38.46	37.74	36.68	31.71	36.54	40.4	40.76	42.28	40.51	39.29	34.39	43.17	40.5	34.29	46.69	32.39	37.04	40.59	34.06	28.22	34.63	47.37	40.2	39.22	36.22	34.98	37.44	35.48	29.73	39.29	42.77	39.38	30.67	35.81	30.34	34.17	40.3	36.51	43.59	41.88	42.11	39.81	45.98	45.78	34.57	45.68	41.33	42.31	60.26	41.89	39.39	31.82	48.44	42.11	45.45	38	54.55	34.62	42.86	46.34	52.5	46.67	39.29	48.15	50	44	66.67	45.83	54.55	35	57.89
42.24	40.09	49.28	39.09	26.64	44.83	31.47	36.87	38.36	37.93	24.14	33.64	31.9	33.94	39.57	40.09	28.78	30.41	44.39	33.81	34.36	38.01	42.63	34.16	29.81	40.21	47.78	38.71	45.18	44.5	50.83	42.46	41.76	35.54	36.42	40.7	50.99	44.14	45.65	35.46	40.44	36.3	38.21	37.19	38.74	50	40	35.14	45.16	31.65	45.12	39.51	38.75	37.5	33.33	47.89	52.7	37.88	45.9	36.51	34.48	56.36	46.15	54.55	28.85	59.09	53.66	40.54	35.71	57.14	48.15	54.17	56	57.14	41.67	52.63	64.71	42.11
36.76	38.4	35.14	33.51	33.04	35.03	39.27	34.79	29.45	33.87	25.06	30.02	36.75	46.7	46.86	54.17	32.98	38.84	41.6	32.31	32.75	32.74	34.48	30.42	28.96	32.65	33.19	31.33	37.79	31.6	38.61	35.75	27.72	33	39.68	31.72	33.33	41.51	37.97	33.77	37.23	41.38	31.25	38.41	32.81	35.71	41.03	42.11	43.52	37.23	30.12	32.89	35	36.84	37.18	39.74	38.57	21.88	30.3	54.69	47.37	31.03	40.35	47.27	46.15	42.86	40	47.5	35.71	60.71	48.15	58.33	68	66.67	50	22.73	36.84	35
37.66	39.26	38.12	35.43	26.03	42.56	39.22	31.49	44	32.64	27.8	33.04	32.6	35.75	37.76	35.94	32.74	27.16	36.56	37.17	33.79	29.41	35.16	41.87	32.5	44.78	44.88	50.49	39.78	36.84	34.78	30.98	36.31	35.71	44.19	36.05	29.05	37.33	38.03	36.23	40.58	30.88	28.57	36.36	35	35.96	38.05	34.91	32.04	44.68	34.94	36.71	39.51	45.9	58.21	44.74	51.39	40.98	36.92	43.75	51.72	45.45	30.19	55.77	30.77	48.89	36.59	53.85	50	39.29	44	34.62	56.52	50	54.17	59.09	52.94	20
30.43	43.59	43	48.79	36.71	45.89	34.78	32.63	38.16	26.53	39.13	41.05	42.03	39.81	44.97	33.82	36.1	34.9	34.48	41.75	40.1	42.08	29.29	36.87	31.22	33.33	42.01	33.33	40.76	50	31.46	50.29	49.4	40	39.75	29.3	26.67	46	32.17	37.21	38.24	39.83	30.43	46.09	37.6	52.38	47.37	29.41	45.45	31.82	31.71	24.69	41.98	28.75	44.59	48.72	42.47	39.39	38.46	53.45	47.46	23.08	38.6	53.66	34.62	44.9	46.15	71.79	51.85	62.96	38.46	42.31	41.67	62.5	33.33	63.64	50	52.63
38.12	35.64	35.82	37.64	29.85	28.71	37	35.79	40.5	42.94	45.56	28.22	36.32	43.07	40.91	38.12	33.15	26.77	32.5	31.5	41.97	32.49	36.41	38.62	33.14	30.2	36.05	30.68	40.72	36.36	41.1	40.61	31.85	37.18	40.94	40.25	36.3	42.96	37.23	52.71	38.24	32.79	37	42.31	27.12	34.65	44.04	60.2	49.48	40.48	39.44	24.69	35.44	55.17	36.36	42.67	41.54	45	30.16	45.31	35.19	46.15	32.08	50	46.15	38.3	25.64	44.74	42.86	66.67	40.74	57.69	44	68.18	37.5	72.73	55	47.37
42.51	38.78	38.17	39.35	33.91	36.24	37.72	38.37	38.6	50.58	31.82	35.52	31.95	39.42	36.88	39.56	36.64	31.11	36.53	35.36	38.66	41.04	40.39	36.68	31.43	34.39	35.11	31.43	40.83	43.24	33.67	37.06	35.26	37.5	36	39.88	40.52	39.47	45.03	34.03	40.77	37.23	34.51	31.82	42.86	41.03	49.57	50.49	34.62	32.18	42.31	37.97	39.51	33.33	51.28	55.84	45.07	46.97	35.48	37.5	40.68	50.91	25.93	46.3	42.31	46.94	41.46	64.1	41.38	64.29	60	30.77	52	54.17	25	54.55	52.94	36.84
29.41	37.3	44.05	35.63	33.33	31.9	23.41	32.14	26.03	23.9	34.84	29.34	33.6	30.04	30.96	26.04	40.09	16.39	27.51	35.32	39.81	35.29	27.7	32.67	34.24	36.92	26.43	36.49	26.63	33.12	41.12	26.61	42.01	36.36	32.08	29.73	27.71	35	33.33	36.5	35.65	56.41	23	31.39	36.89	39.13	38.46	20.95	38.37	33.9	38.36	40.62	35.21	29.63	29.73	41.3	31.08	30.95	30.3	52.54	48.48	33.33	36.84	33.33	60.78	32.65	53.85	70	32.14	48.15	37.04	50	30.43	50	41.67	36.36	55	42.11
40.4	46.27	37.31	36.41	30.81	35.53	37.31	31.77	34.01	46.43	33.51	34.01	33.84	32.8	34.85	30.81	42.69	34.64	32.66	38.95	32.22	28.11	44.13	33.33	41.28	30.34	52.02	36	40.91	39.16	43.71	51.23	35.37	34.36	44.59	31.97	43.88	43.66	42.86	43.06	42.24	38.85	28.46	38.64	52.29	36.94	39.29	33.64	35.92	38.3	36.71	31.58	39.51	45.9	44.87	38.03	36.67	57.14	30.3	39.06	57.41	39.62	35.09	64.71	34.62	56.41	46.34	60	53.57	57.14	37.04	54.17	40	45.45	65.22	36.36	55.56	42.11
33.66	36.14	37.13	36.14	31.19	33.17	30.69	30.2	30.05	28.74	28.14	37.95	43.5	36.36	30.81	35.5	31.25	25.82	31.63	35.48	35.91	30.22	30	33.7	31.07	26.09	27.95	27.66	44.17	38.22	37.21	22.5	31.79	34.55	37.04	27.74	25.66	45.77	29.05	41.96	38.17	40.8	30.28	34.71	23.58	33.77	41.59	23	49.47	32.14	40.58	23.38	56.94	26.15	26.92	45.83	52.24	43.14	46.15	51.56	32.65	33.96	22.81	46.15	44.23	36.73	51.22	45	40.91	60.71	55.56	64	47.37	70.83	41.67	27.27	55	36.84
