2.88	3.55	1.89	1.2	0.79	0	0	0	0	0	0	0	0	0
3.59	2.84	1.5	1.34	0.2	0	0	0	0	0	0	0	0	0
3	2.7	1.2	0.9	0.2	0	0	0	0	0	0	0	0	0
2.82	3.17	1	0.9	0.2	0	0	0	0	0	0	0	0	0
3.05	2.66	1.2	0.9	0.2	0	0	0	0	0	0	0	0	0
2.86	2.51	1.1	0.75	0.2	0	0	0	0	0	0	0	0	0
2.26	2.36	0.89	0.3	0	0	0	0	0	0	0	0	0	0
2.45	1.92	0.99	0.9	0	0	0	0	0	0	0	0	0	0
2.44	2.26	0.69	0.6	0	0	0	0	0	0	0	0	0	0
2.34	2.06	0.6	0.6	0	0	0	0	0	0	0	0	0	0
2.25	1.51	0.4	0	0	0	0	0	0	0	0	0	0	0
1.93	1.89	0.79	0.15	0	0	0	0	0	0	0	0	0	0
2.22	1.75	0.4	0.15	0	0	0	0	0	0	0	0	0	0
2.04	1.54	0.69	0.15	0	0	0	0	0	0	0	0	0	0
2	1.41	0.7	0.15	0	0	0	0	0	0	0	0	0	0
1.83	1.2	0.5	0.15	0	0	0	0	0	0	0	0	0	0
1.72	1.4	0.4	0.15	0	0	0	0	0	0	0	0	0	0
1.71	1.19	0.4	0.15	0	0	0	0	0	0	0	0	0	0
1.61	1.04	0.4	0	0	0	0	0	0	0	0	0	0	0
1.36	0.99	0.2	0.15	0	0	0	0	0	0	0	0	0	0
1.47	0.94	0.2	0	0	0	0	0	0	0	0	0	0	0
1.4	0.75	0.2	0	0	0	0	0	0	0	0	0	0	0
1.15	0.79	0.2	0.15	0	0	0	0	0	0	0	0	0	0
1.33	0.9	0.2	0.15	0	0	0	0	0	0	0	0	0	0
1.21	0.7	0.2	0.15	0	0	0	0	0	0	0	0	0	0
0.98	0.6	0.2	0.15	0	0	0	0	0	0	0	0	0	0
1.04	0.49	0.2	0	0	0	0	0	0	0	0	0	0	0
0.9	0.49	0.2	0	0	0	0	0	0	0	0	0	0	0
0.79	0.44	0.2	0	0	0	0	0	0	0	0	0	0	0
0.8	0.39	0.2	0	0	0	0	0	0	0	0	0	0	0
0.65	0.34	0.2	0	0	0	0	0	0	0	0	0	0	0
0.72	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0
0.59	0.25	0.2	0	0	0	0	0	0	0	0	0	0	0
0.55	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0
0.52	0.3	0.2	0	0	0	0	0	0	0	0	0	0	0
0.48	0.29	0.2	0	0	0	0	0	0	0	0	0	0	0
0.41	0.24	0.2	0	0	0	0	0	0	0	0	0	0	0
