0	control 447309_1	0	0	0	0	0	0.00	5.81478
149103	control 447309_1	0	0	0	0	0	0.00	4.73848
298206	control 447309_1	0	0	0	0	0	0.00	4.71445
447309	control 447309_1	0	0	0	0	0	0.00	4.72514
596412	control 447309_1	0	0	0	0	0	0.00	4.73531
745515	control 447309_1	0	0	0	0	0	0.00	4.74668
894618	control 447309_1	0	0	0	0	0	0.00	4.76815
1043721	control 447309_1	0	0	0	0	0	0.00	4.75476
1192824	control 447309_1	0	0	0	0	0	0.00	4.90745
1341927	control 447309_1	0	0	0	0	0	0.00	4.91934
1491030	control 447309_1	0	0	0	0	0	0.00	4.97208
1640133	control 447309_1	0	0	0	0	0	0.00	4.94696
1789236	control 447309_1	0	0	0	0	0	0.00	4.91572
1938339	control 447309_1	0	0	0	0	0	0.00	4.92304
2087442	control 447309_1	0	0	0	0	0	0.00	4.91200
2236545	control 447309_1	0	0	0	0	0	0.00	4.89367
2385648	control 447309_1	0	0	0	0	0	0.00	4.91677
2534751	control 447309_1	0	0	0	0	0	0.00	4.92583
2683854	control 447309_1	0	0	0	0	0	0.00	4.93254
2832957	control 447309_1	0	0	0	0	0	0.00	4.93447
2982060	control 447309_1	0	0	0	0	0	0.00	4.88322
3131163	control 447309_1	0	0	0	0	0	0.00	4.88443
3280266	control 447309_1	0	0	0	0	0	0.00	3.95130
3429369	control 447309_1	0	0	0	0	0	0.00	1.46159
0	control 596412_0	1767	1	1145	0	1162	1101.12	4.79606
149103	control 596412_0	1778	0	1163	13	1158	1100.81	4.83500
298206	control 596412_0	1668	0	1073	20	1162	1035.69	4.84612
447309	control 596412_0	1655	0	1049	20	1159	1003.99	4.83818
596412	control 596412_0	1167	0	1163	0	1163	1166.48	5.14885
745515	control 596412_0	1706	48	1162	0	1163	1017.31	4.82675
894618	control 596412_0	1729	0	1162	33	1162	1042.93	4.82550
1043721	control 596412_0	1704	18	1162	3	1162	1030.59	4.81445
1192824	control 596412_0	1756	7	1163	0	1139	1051.90	4.85310
1341927	control 596412_0	1775	4	1157	0	1161	1021.50	4.81649
1491030	control 596412_0	1686	0	1020	3	1162	906.46	4.83682
1640133	control 596412_0	1680	111	1162	6	1163	866.85	4.83870
1789236	control 596412_0	1724	47	1145	6	1161	904.09	4.86940
1938339	control 596412_0	1764	1	1163	12	1156	939.17	4.81339
2087442	control 596412_0	1719	19	1124	6	1161	907.65	4.81249
2236545	control 596412_0	1682	21	1083	13	1163	871.62	4.78050
2385648	control 596412_0	1760	10	1151	14	1160	886.58	4.80282
2534751	control 596412_0	1713	29	1091	6	1144	879.83	4.78780
2683854	control 596412_0	1749	0	1143	15	1161	907.69	4.78307
2832957	control 596412_0	1709	39	1157	3	1160	863.14	4.77192
2982060	control 596412_0	1759	6	1163	13	1149	937.71	4.78976
